heating,heating_fan,hotwater,lights,lgappl,vent_fan,misc,electkwh,heatingkwh,hotwaterkwh,Date/Time,PV_generation,Temperature
3.736686,0.044709,0.0,0.022749,0.042381,0.0,0.176259,0.241389,3.7813950000000003,0.0, 01/01  01:00:00,0.0,-7.488
3.837678,0.035999,0.0,0.013649,0.041584,0.0,0.166187,0.22142,3.873677,0.0, 01/01  02:00:00,0.0,-7.637
6.059491,0.041142,0.0,0.009099,0.036289,0.0,0.161151,0.20653899999999997,6.100633,0.0, 01/01  03:00:00,0.0,-7.813
2.423797,0.041142,0.0,0.009099,0.035492,0.0,0.156115,0.200706,2.4649389999999998,0.0, 01/01  04:00:00,0.0,-7.984
1.211898,0.041142,0.0,0.010117,0.039192,0.0,0.161151,0.21045999999999998,1.25304,0.0, 01/01  05:00:00,0.0,-8.147
0.0,0.041142,0.0,0.027759,0.045189,0.0,0.166187,0.239135,0.041142,0.0, 01/01  06:00:00,0.0,-8.221
4.847593,0.041142,0.0,0.065169,0.067773,0.025,0.186331,0.344273,4.888735,0.0, 01/01  07:00:00,0.0,-8.256
4.847593,0.041142,0.0,0.08247,0.094854,0.005,0.211511,0.393835,4.888735,0.0, 01/01  08:00:00,0.524,-8.197
4.241644,0.04457,1.245169,0.087643,0.101649,0.0,0.216547,0.405839,4.286214,1.245169, 01/01  09:00:00,3.87,-7.428
3.029746,0.041142,3.355036,0.09009,0.104647,0.0,0.216547,0.411284,3.0708879999999996,3.355036, 01/01  10:00:00,6.419,-6.125
1.817847,0.041142,3.606322,0.087641,0.094854,0.0,0.216547,0.399042,1.858989,3.606322, 01/01  11:00:00,7.779,-4.617
1.817847,0.041142,0.0,0.084247,0.106848,0.0,0.221583,0.412678,1.858989,0.0, 01/01  12:00:00,8.313,-3.123
3.635695,0.037713,0.343032,0.081798,0.118937,0.0,0.226619,0.427354,3.6734080000000002,0.343032, 01/01  13:00:00,8.018,-1.863
2.423797,0.041142,0.196861,0.081077,0.149203,0.0,0.226619,0.45689899999999994,2.4649389999999998,0.196861, 01/01  14:00:00,6.882,-0.976
