# Renewables.ninja Solar PV (Point API) - 41.876, -87.624 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in America/Chicago, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""America/Chicago"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""kW/m\u00b2"""," ""irradiance_diffuse"": ""kW/m\u00b2"""," ""temperature"": ""\u00baC""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""41.8755616"""," ""lon"": ""-87.6244212"""," ""date_from"": ""2015-01-01"""," ""date_to"": ""2015-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""10"""," ""system_loss"": ""0"""," ""tracking"": ""0"""," ""tilt"": ""35"""," ""azim"": ""180"""," ""raw"": true}}"
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,,,,,,,,,,,,,
1/1/2015 0:00,12/31/2014 18:00,0,0,0,-6.695,,,,,,,,,,,,,
1/1/2015 1:00,12/31/2014 19:00,0,0,0,-6.693,,,,,,,,,,,,,
1/1/2015 2:00,12/31/2014 20:00,0,0,0,-6.74,,,,,,,,,,,,,
1/1/2015 3:00,12/31/2014 21:00,0,0,0,-6.846,,,,,,,,,,,,,
1/1/2015 4:00,12/31/2014 22:00,0,0,0,-7.106,,,,,,,,,,,,,
1/1/2015 5:00,12/31/2014 23:00,0,0,0,-7.328,,,,,,,,,,,,,
1/1/2015 6:00,1/1/2015 0:00,0,0,0,-7.488,,,,,,,,,,,,,
1/1/2015 7:00,1/1/2015 1:00,0,0,0,-7.637,,,,,,,,,,,,,
1/1/2015 8:00,1/1/2015 2:00,0,0,0,-7.813,,,,,,,,,,,,,
1/1/2015 9:00,1/1/2015 3:00,0,0,0,-7.984,,,,,,,,,,,,,
1/1/2015 10:00,1/1/2015 4:00,0,0,0,-8.147,,,,,,,,,,,,,
1/1/2015 11:00,1/1/2015 5:00,0,0,0,-8.221,,,,,,,,,,,,,
1/1/2015 12:00,1/1/2015 6:00,0,0,0,-8.256,,,,,,,,,,,,,
1/1/2015 13:00,1/1/2015 7:00,0.524,0.048,0.013,-8.197,,,,,,,,,,,,,
1/1/2015 14:00,1/1/2015 8:00,3.87,0.312,0.05,-7.428,,,,,,,,,,,,,
1/1/2015 15:00,1/1/2015 9:00,6.419,0.556,0.059,-6.125,,,,,,,,,,,,,
1/1/2015 16:00,1/1/2015 10:00,7.779,0.702,0.065,-4.617,,,,,,,,,,,,,
1/1/2015 17:00,1/1/2015 11:00,8.313,0.765,0.068,-3.123,,,,,,,,,,,,,
1/1/2015 18:00,1/1/2015 12:00,8.018,0.734,0.071,-1.863,,,,,,,,,,,,,
1/1/2015 19:00,1/1/2015 13:00,6.882,0.609,0.072,-0.976,,,,,,,,,,,,,
1/1/2015 20:00,1/1/2015 14:00,4.79,0.392,0.072,-0.522,,,,,,,,,,,,,
1/1/2015 21:00,1/1/2015 15:00,1.563,0.107,0.052,-0.578,,,,,,,,,,,,,
1/1/2015 22:00,1/1/2015 16:00,0,0.002,0.003,-1.068,,,,,,,,,,,,,
1/1/2015 23:00,1/1/2015 17:00,0,0,0,-1.3,,,,,,,,,,,,,
1/2/2015 0:00,1/1/2015 18:00,0,0,0,-1.558,,,,,,,,,,,,,
1/2/2015 1:00,1/1/2015 19:00,0,0,0,-1.825,,,,,,,,,,,,,
1/2/2015 2:00,1/1/2015 20:00,0,0,0,-2.051,,,,,,,,,,,,,
1/2/2015 3:00,1/1/2015 21:00,0,0,0,-2.322,,,,,,,,,,,,,
1/2/2015 4:00,1/1/2015 22:00,0,0,0,-2.731,,,,,,,,,,,,,
1/2/2015 5:00,1/1/2015 23:00,0,0,0,-3.165,,,,,,,,,,,,,
1/2/2015 6:00,1/2/2015 0:00,0,0,0,-3.6,,,,,,,,,,,,,
1/2/2015 7:00,1/2/2015 1:00,0,0,0,-3.931,,,,,,,,,,,,,
1/2/2015 8:00,1/2/2015 2:00,0,0,0,-4.008,,,,,,,,,,,,,
1/2/2015 9:00,1/2/2015 3:00,0,0,0,-4.006,,,,,,,,,,,,,
1/2/2015 10:00,1/2/2015 4:00,0,0,0,-4.075,,,,,,,,,,,,,
1/2/2015 11:00,1/2/2015 5:00,0,0,0,-4.116,,,,,,,,,,,,,
1/2/2015 12:00,1/2/2015 6:00,0,0,0,-4.229,,,,,,,,,,,,,
1/2/2015 13:00,1/2/2015 7:00,0.343,0.031,0.014,-4.213,,,,,,,,,,,,,
1/2/2015 14:00,1/2/2015 8:00,3.154,0.241,0.06,-3.435,,,,,,,,,,,,,
1/2/2015 15:00,1/2/2015 9:00,5.984,0.512,0.069,-2.268,,,,,,,,,,,,,
1/2/2015 16:00,1/2/2015 10:00,7.389,0.664,0.074,-0.614,,,,,,,,,,,,,
1/2/2015 17:00,1/2/2015 11:00,7.457,0.66,0.091,0.567,,,,,,,,,,,,,
1/2/2015 18:00,1/2/2015 12:00,5.611,0.423,0.129,1.031,,,,,,,,,,,,,
